date,close,daily_volatility
7/6/18,0.00761158,0.087244372
7/9/18,0.018783217,0.1370518787957261
7/10/18,0.010420774,0.10208219282271663
7/11/18,0.005553328,0.074520654
7/12/18,0.002193869,0.04683876
7/13/18,0.02726366,0.16511711097283407
7/16/18,0.013173195,0.11477453929814574
7/17/18,0.006674522,0.081697749
7/18/18,0.002535048,0.050349259
7/19/18,0.003714538,0.06094701
7/20/18,0.008375542,0.091517985
7/23/18,0.005499878,0.074161161
7/24/18,0.00039071,0.019766392229597692
7/25/18,0.008794231,0.093777559
7/26/18,0.003293262,0.057386948
7/27/18,0.013605457,0.11664243140415884
